symbol,contractSymbol,expiration,days_to_expiry,strike,impliedVolatility,bid,ask,mid_price,bs_price,price_diff
AAPL,AAPL241220C00020000,2024-12-20,24 days 15:31:18.543408,20.0,4.539066826171874,207.85,210.45,209.14999999999998,210.3078535263418,-1.1578535263418246
AAPL,AAPL241220C00070000,2024-12-20,24 days 15:31:18.543408,70.0,2.1738326904296876,158.8,160.4,159.60000000000002,160.40880512246326,-0.8088051224632409
AAPL,AAPL241220C00085000,2024-12-20,24 days 15:31:18.543408,85.0,1.0000000000000003e-05,111.3,112.95,112.125,145.05463988841998,-32.929639888419985
AAPL,AAPL250221C00120000,2025-02-21,87 days 15:31:18.543408,120.0,0.5195360546875,109.6,109.95,109.775,110.97001883059949,-1.19501883059948
AAPL,AAPL250321C00040000,2025-03-21,115 days 15:31:18.543408,40.0,1.7192396850585938,189.85,192.35,191.1,191.2396096182362,-0.139609618236193
AAPL,AAPL250321C00045000,2025-03-21,115 days 15:31:18.543408,45.0,1.0000000000000003e-05,179.7,182.3,181.0,185.18506378089984,-4.1850637808998385
AAPL,AAPL250321C00050000,2025-03-21,115 days 15:31:18.543408,50.0,1.0546922265625,178.55,181.4,179.97500000000002,180.34476630743416,-0.3697663074341335
AAPL,AAPL250321C00065000,2025-03-21,115 days 15:31:18.543408,65.0,1.0000000000000003e-05,156.9,159.65,158.275,165.46662471117725,-7.191624711177241
AAPL,AAPL250321C00075000,2025-03-21,115 days 15:31:18.543408,75.0,1.6533220458984377,160.05,162.6,161.325,161.65221741602628,-0.3272174160262864
AAPL,AAPL250321C00095000,2025-03-21,115 days 15:31:18.543408,95.0,1.0000000000000003e-05,128.7,129.2,128.95,135.8889661065934,-6.938966106593398
AAPL,AAPL250417C00130000,2025-04-17,142 days 15:31:18.543408,130.0,0.6757844921875001,102.5,103.25,102.875,104.39765199190497,-1.522651991904965
AAPL,AAPL250620C00065000,2025-06-20,206 days 15:31:18.543408,65.0,0.8833019482421874,162.05,165.75,163.9,166.6969287766894,-2.796928776689384
AAPL,AAPL250815C00105000,2025-08-15,262 days 15:31:18.543408,105.0,1.0000000000000003e-05,119.85,123.55,121.69999999999999,127.48258549075221,-5.782585490752226
AAPL,AAPL250815C00110000,2025-08-15,262 days 15:31:18.543408,110.0,0.6713900048828126,123.05,124.9,123.975,126.19795960394569,-2.2229596039456965
AAPL,AAPL250815C00130000,2025-08-15,262 days 15:31:18.543408,130.0,0.5021412091064454,101.2,102.95,102.075,105.83726850155577,-3.7622685015557664
AAPL,AAPL250815C00315000,2025-08-15,262 days 15:31:18.543408,315.0,0.24134059448242187,1.38,1.49,1.435,1.9821226867628816,-0.5471226867628816
AAPL,AAPL250919C00055000,2025-09-19,297 days 15:31:18.543408,55.0,1.0000000000000003e-05,168.0,171.35,169.675,176.02595299397979,-6.350952993979774
AAPL,AAPL250919C00060000,2025-09-19,297 days 15:31:18.543408,60.0,1.0819137701416015,172.2,175.8,174.0,174.9085604871405,-0.9085604871405053
AAPL,AAPL250919C00070000,2025-09-19,297 days 15:31:18.543408,70.0,0.8858653991699219,161.4,164.2,162.8,164.13456208802515,-1.3345620880251374
AAPL,AAPL250919C00080000,2025-09-19,297 days 15:31:18.543408,80.0,1.0000000000000003e-05,142.35,144.65,143.5,151.92480710776707,-8.424807107767066
AAPL,AAPL250919C00105000,2025-09-19,297 days 15:31:18.543408,105.0,1.0000000000000003e-05,119.4,121.5,120.45,127.82366122155432,-7.373661221554315
AAPL,AAPL250919C00135000,2025-09-19,297 days 15:31:18.543408,135.0,0.5341233111572266,98.9,102.3,100.6,103.7366074779448,-3.136607477944807
AAPL,AAPL251219C00055000,2025-12-19,388 days 15:31:18.543408,55.0,0.7937032348632812,172.65,176.3,174.47500000000002,177.56549086780873,-3.090490867808711
AAPL,AAPL251219C00060000,2025-12-19,388 days 15:31:18.543408,60.0,0.7419459399414061,167.4,171.25,169.325,172.74526682701674,-3.4202668270167464
AAPL,AAPL251219C00065000,2025-12-19,388 days 15:31:18.543408,65.0,1.0000000000000003e-05,158.7,161.75,160.225,166.83346750468672,-6.608467504686729
AAPL,AAPL251219C00070000,2025-12-19,388 days 15:31:18.543408,70.0,0.6057168334960938,159.75,161.7,160.725,162.74473349753336,-2.019733497533366
AAPL,AAPL260116C00020000,2026-01-16,416 days 15:31:18.543408,20.0,1.0000000000000003e-05,200.8,204.7,202.75,209.7200279220182,-6.970027922018204
AAPL,AAPL260116C00025000,2026-01-16,416 days 15:31:18.543408,25.0,1.0000000000000003e-05,194.5,198.25,196.375,204.97000121195842,-8.595001211958419
AAPL,AAPL260116C00065000,2026-01-16,416 days 15:31:18.543408,65.0,0.7733176965332031,165.95,169.05,167.5,169.18340355857111,-1.683403558571115
AAPL,AAPL260116C00085000,2026-01-16,416 days 15:31:18.543408,85.0,1.0000000000000003e-05,139.9,143.8,141.85000000000002,147.96968069124085,-6.119680691240831
AAPL,AAPL260618C00015000,2026-06-18,569 days 15:31:18.543408,15.0,1.3449739782714842,212.7,216.55,214.625,215.7765540424601,-1.1515540424601056
AAPL,AAPL260618C00030000,2026-06-18,569 days 15:31:18.543408,30.0,0.73437765625,196.45,200.2,198.325,200.58477998969124,-2.2597799896912534
AAPL,AAPL260618C00035000,2026-06-18,569 days 15:31:18.543408,35.0,1.2365760827636718,199.1,202.95,201.02499999999998,201.06280027731535,-0.03780027731536961
AAPL,AAPL260618C00045000,2026-06-18,569 days 15:31:18.543408,45.0,1.0000000000000003e-05,177.55,181.4,179.47500000000002,186.3472759152283,-6.872275915228272
AAPL,AAPL260618C00050000,2026-06-18,569 days 15:31:18.543408,50.0,0.716677637939453,177.6,181.5,179.55,182.9845899275883,-3.4345899275882914
AAPL,AAPL260618C00085000,2026-06-18,569 days 15:31:18.543408,85.0,0.5654950677490236,144.5,148.3,146.4,151.72585615363823,-5.325856153638227
AAPL,AAPL261218C00010000,2026-12-18,752 days 15:31:18.543408,10.0,1.0000000000000003e-05,214.85,218.75,216.8,218.6810412414694,-1.8810412414693758
AAPL,AAPL261218C00015000,2026-12-18,752 days 15:31:18.543408,15.0,1.0000000000000003e-05,208.0,213.0,210.5,214.12376293066856,-3.623762930668562
AAPL,AAPL261218C00020000,2026-12-18,752 days 15:31:18.543408,20.0,1.0000000000000003e-05,201.3,205.25,203.275,209.56648461986774,-6.291484619867731
AAPL,AAPL261218C00030000,2026-12-18,752 days 15:31:18.543408,30.0,1.140263087768555,203.55,207.35,205.45,205.17696203107016,0.27303796892982746
AAPL,AAPL261218C00085000,2026-12-18,752 days 15:31:18.543408,85.0,0.6080361462402344,149.85,154.5,152.175,155.98591194157365,-3.810911941573636
AAPL,AAPL261218C00095000,2026-12-18,752 days 15:31:18.543408,95.0,0.5065967309570312,135.5,140.5,138.0,145.3700745278564,-7.370074527856389
AAPL,AAPL270115C00030000,2027-01-15,780 days 15:31:18.543408,30.0,0.8032246240234374,199.55,203.1,201.325,201.6037305220731,-0.27873052207311844
AAPL,AAPL270115C00050000,2027-01-15,780 days 15:31:18.543408,50.0,0.5708050732421875,176.0,181.0,178.5,183.10902443405502,-4.609024434055016
